embedding_x,embedding_y
16.702213,-0.9491216
17.23587,2.6965916
16.30631,-6.031246
8.886383,16.713303
-4.9395723,4.5156546
16.321022,-2.550382
16.295076,-5.305374
16.261246,-2.3477254
16.825449,-8.099377
7.29246,9.018651
-4.321031,11.953727
-3.5384352,17.46517
16.867678,-8.159116
-4.8806562,14.141265
16.332008,-4.2773356
16.84415,-8.127617
-4.407918,-0.43078208
7.174869,18.61631
1.1677173,-7.4167233
16.716017,-7.903775
16.447607,-6.9985566
17.826397,5.423794
16.70626,-0.15145934
6.900191,9.44716
16.388067,-6.709693
-5.260508,5.29683
16.272518,-2.2997518
7.0994005,10.5832815
16.36506,-2.4162495
-4.3164062,11.892564
16.247528,-3.4162543
7.211389,18.581038
-6.2232475,18.910892
-5.0773096,7.745468
-2.9567242,18.528078
16.433205,-0.36283115
16.840763,-8.12312
18.559235,8.228343
16.415844,-6.7222996
-4.3290424,11.915513
16.462023,-6.9640937
-4.6111264,18.156643
16.266178,-2.3683434
-4.384017,15.454616
-4.0308533,15.17847
7.346119,9.099707
-4.3679476,13.33543
16.732224,-7.9401813
-3.8636894,14.833921
18.283966,7.4172297
-5.433462,4.5834355
0.45351812,18.249628
18.56258,8.159864
16.289206,-2.1502452
8.676687,16.9708
-2.5438342,-5.291682
8.496132,17.300882
17.379227,3.8566706
16.471281,-7.0450983
-3.2051685,18.427523
-3.3837986,-3.7772841
8.733509,16.908287
17.346003,3.4088533
-5.6568384,18.65889
-3.0461714,8.88702
-4.334113,11.908501
16.857214,-8.148853
17.809294,5.9610267
16.751612,-7.933687
17.549868,10.643058
16.284023,-5.4062605
16.82188,-0.6156698
4.7385335,-8.68734
-4.5255046,0.7168857
1.4006045,-7.5099907
17.854944,6.1284666
16.280745,-5.719487
16.550701,-7.2367086
16.291086,-3.5416784
-4.004561,15.119594
4.7355795,-8.677295
16.278212,-2.6651213
-5.6305704,18.61911
-4.3253026,11.892994
-5.965676,13.61986
16.678019,0.13677119
9.265009,16.078
-4.3487754,15.313794
16.662424,-7.8234468
16.784536,-0.7141733
17.814013,5.484962
-4.5259314,18.123857
16.360619,-3.5133665
-0.041387435,20.10998
17.0478,2.3139958
-4.5804834,1.1509423
16.429161,-6.954935
17.199385,4.073629
-3.9606771,-1.3145841
17.332163,3.1993613
16.291876,-3.5910134
0.92403036,-7.277247
-4.516748,0.69950527
16.231266,-2.8424082
16.85697,-0.5326535
18.698957,9.851558
7.5739346,9.225536
16.28539,-2.3073473
-5.100918,5.0172544
-2.0759602,-5.8826385
16.338207,-0.5979843
-4.392459,13.385882
8.491886,17.339365
-4.5569124,0.7017367
16.313557,-2.5968957
16.401842,-6.742015
16.271814,-4.8389454
-2.7025793,18.743046
16.55858,-7.1170993
16.313843,-6.0724716
16.269268,-5.523582
17.313223,3.803268
-4.0869966,18.014076
16.366833,-0.44451618
18.524443,12.0536585
16.25944,-5.04156
16.285267,-2.5053978
-2.427986,-5.417718
18.256018,10.525384
18.29255,11.062604
0.88054264,-7.246451
16.215744,-2.446133
7.565135,10.104193
18.530931,8.663935
18.005255,5.5780587
-6.1293244,13.264302
16.366714,-6.559491
-4.2408094,11.382965
-3.4533713,-3.6631749
6.9317355,9.418235
-5.6412354,18.621517
-5.4170103,4.5844603
16.347292,-3.95706
16.33866,-4.2327094
18.362005,10.434142
16.711031,-7.8970375
18.09908,6.490016
18.398035,9.287673
18.379366,7.7474947
8.662003,16.987528
-1.4261081,19.225147
18.369001,7.5790906
-3.7625258,14.7188015
-5.115941,5.014128
18.236593,10.948159
-5.2882533,18.448687
-5.048689,7.6189575
18.201918,10.952177
0.2067125,-7.003194
-0.83006036,-6.6339445
-6.082499,18.832123
18.36205,7.6570992
16.355608,-4.060505
16.384214,-0.43372288
16.427313,-6.690593
-4.5687814,14.713939
9.27697,15.9754925
-6.6606483,-14.038359
1.7535068,-7.8466597
16.328663,-2.955717
16.763802,-7.982095
-4.0456204,18.01759
16.41674,-6.728537
1.0235708,18.57459
9.104507,15.788691
16.36418,-0.36951348
17.01089,2.768644
8.938638,16.646759
-4.2698474,11.628818
18.278818,10.641778
16.378069,-6.6768227
17.975819,6.19466
16.551004,-7.2005024
18.381989,7.604593
17.0917,2.3048086
16.347279,-3.9529264
8.539679,17.356682
18.314772,7.492066
16.848543,-8.135558
9.277596,15.97936
7.572698,9.244422
16.292198,-4.928088
0.56653565,18.349407
0.901889,-7.2502646
16.729954,-7.9223843
7.5173483,9.275071
-4.3363447,0.28992087
-4.8655167,4.466172
16.24469,-5.3611937
-5.187009,4.182867
18.482756,9.789987
0.84071237,-7.222513
-5.443501,18.534058
16.677984,-0.16866681
-5.8655367,4.1209497
16.278595,-5.1298895
-4.287453,11.822561
17.744013,5.5622787
18.285439,10.98153
0.22236748,18.083288
6.930475,9.368309
7.603548,10.071952
18.005436,5.8082542
16.350878,-2.1134875
9.041506,16.524734
-5.0382714,7.6306944
17.27051,3.5753033
16.317059,-4.820844
0.10859336,20.116594
-4.9450703,7.3579235
16.646269,-0.012384807
16.261984,-3.635845
16.995815,3.0423102
7.429964,10.244181
-4.283451,11.826468
-4.875174,4.4941916
-4.5030303,0.6588261
-0.11664544,20.073584
-6.659147,-14.055251
-3.3260825,17.731422
17.118011,3.2684486
0.8904293,-7.245459
1.4051912,-7.5495343
-4.382032,13.3133545
-4.4136157,-0.27940646
16.676205,-7.8476396
18.186356,10.689154
16.236689,-5.182937
18.310898,10.525747
16.226873,-2.6468039
18.504307,10.004729
17.082413,2.7935016
18.479471,10.067267
16.698523,-7.882431
16.733597,-7.9423623
16.369175,-2.2773442
-2.3392086,-5.5146456
18.344652,7.6307173
16.371738,-6.672708
18.36942,11.236164
16.178034,-2.6896029
17.796747,6.023687
17.043537,2.0729513
17.761116,5.5192127
7.398513,10.284901
18.191488,10.989843
7.188226,18.597103
16.464415,-1.0657412
-2.7606714,18.694683
-2.1184878,-5.833264
16.716326,-7.9161706
-4.1149116,15.107446
17.89413,6.534273
-4.3312154,11.918567
-2.7652147,18.687853
-3.272651,-3.9478676
16.277168,-2.3812003
18.407955,7.663554
16.705824,-7.887194
-3.1258552,8.958659
16.315294,-5.211322
17.294353,3.1227186
17.319967,3.3638282
16.800814,-8.041358
16.284153,-5.304054
-3.485155,17.553026
18.43027,9.513857
16.310694,-3.024817
-4.6602316,18.171865
16.25886,-5.649129
16.40487,-6.691208
17.147158,2.617067
16.318308,-5.307547
16.572947,-7.251088
16.45394,-1.1575866
16.343143,-4.118605
16.317457,-4.02287
16.29133,-4.8157973
-4.5434084,0.7302954
16.255152,-5.28428
9.01675,16.571173
18.524555,11.960307
18.07202,6.8020587
16.297733,-2.132531
16.330929,-4.417838
18.258707,10.591852
0.5820714,18.40706
-6.285716,13.265981
18.444424,10.305115
-1.4958401,19.261427
-3.2308733,-4.0053434
17.268711,3.738953
16.403666,-0.37371004
16.328333,-2.8122911
17.2349,3.5721247
-5.2985997,5.0367475
